PK_CAD,RAZAO_SOCIAL,FANTASIA
955,000,"CENTRO DE EDUCACAO PRESENCIAL LAGOA SANTA LTDA","HOTEL LAGOA SANTA"
916,000,"PROAUTO PRODUTOS DE AUTOMAÇÃO LTDA","PROAUTO"
917,000,"CELIBERTO LOGISTA INTERNACIONAL LTDA","CELIBERTO"
952,000,"LOTUS MERCHANDISING DO BRASIL LTDA","LOTUS"
953,000,"RESTAURANTE ACTUAL LTDA ME","ACTUAL"
954,000,"ACTUAL HOTEL E EVENTOS LTDA","ACTUAL"
924,000,"BUREAU VERITAS DO BRASIL SOC CLAS E CERT. LTDA","BUREAU"
940,000,"LUCIANO MORAES","BIMEDICA"
918,000,"TERMATEC MAGUEIRAS E TERMINAIS HIDRAULICOS LTDA","TERMATEC"
945,000,"POWERCOM ELETRONICS LTD.","POWERCOM"
946,000,"ÁGORA MOVEIS LTDA-ME","ÁGORA MOVEIS"
957,000,"WAGO ELETROELETRÔNICOS LTDA","WAGO"
931,000,"CARGOLOG-SOLUCOES LOGISTICAS LTDA","CARGOLOG-SOLUCOES LOGISTICAS"
929,000,"TELINFOR CABOS P/ TELECOMUNICACÕES E INFORMÁTICA LTDA","TELINFOR"
925,000,"SPEROTO E CAMARGO LTDA","HOTEL BRASIL REAL"
926,000,"PATRICK DA SILVA BRAGA ME","PPC COMERCIAL"
927,000,"FERNANDO VIEIRA DOS SANTOS","MULT SERVICE"
932,000,"HOTEL REGENT SUITS LTDA ME","REGENT SUITES"
933,000,"REGENT RESTAURANTE LTDA ME","REGENT RESTAURANTE"
934,000,"NERYTON MIOTTO ME","CHURRASCARIA,REST E HOTEL MACIAMBU"
935,000,"MARIA GABRIEL FERREIRA ME","RESTAURANTE RECANTO"
936,000,"MARIA DA CONCEICAO MANGUEIRA SOUZA ME","AERO BEER GRILL"
937,000,"BAREZ LANCHONETE LTDA EPP","BAR DO JUAREZ"
930,000,"EMP. BRASILEIRA DE INFRA ESTRUTURA AEROPORTU","INFRAERO"
938,000,"AEROPORTO PIZZAS LTDA","AEROPORTO PIZZAS"
949,000,"VIVO S.A.","VIVO"
960,000,"GILNEI ROCHA DOS SANTOS- ME","G R TRANSPORTES"
965,000,"DN AUTOMACAO LTDA","DN AUTOMACAO"
961,000,"HIDROCAN EQUIP E PECAS HIDRAULICAS LTDA","HIDROCAN EQUIP E PECAS HIDRAULICAS LTDA"
958,000,"SERVICO NACIONAL DE APRENDIZAGEM","SENAC"
985,000,"SIMPLES SOLUCOES EM PINTURAS LTDA-ME","SIMPLES"
963,000,"METROLOGIA WG LTDA - EPP","WG - WORK GAGE"
986,000,"PNEUMATECH COM E MANDE FER E MAQUINAS PNEUMATICAS LTDA","PNEUMATECH PNEUMATICA"
987,000,"UNIPLAC COM DE REVESTIMENTOS E DECORACAO LTDA","UNIPLAC FORROS E DIVISORIAS"
966,000,"GASIL COMERCIO E IMPORTACAO LTDA","MULTISOM"
988,000,"VIVO S.A.","VIVO"
989,000,"CABOTHERM INDUSTRIA E COMERCIO LTDA.","CABOTHERM"
990,000,"BL MOVEIS LTDA","ELIS MOV E BAZAR"
991,000,"AMPHENOL EAST ASIA LTD","AMPHENOL"
992,000,"CABOLIDER INDÚSTRIA DE CABOS ELÉTRICOS LTDA","CABOLIDER"
993,000,"HB TRANSPORTES E LOGISTICA LTDA","TRANSITO BRASIL RS"
995,000,"HB TRANSPORTES E LOGISTICA LTDA","TRANSITO BRASIL SP"
1009,000,"NELMAR LEITE MULLER ME","MULLER COMERCIO DE FERRO"
1020,000,"DIGMOTOR EQUIPAMENTOS ELETROMECÂNICOS DIGITAIS LTDA","DIGMOTOR"
998,000,"SIND. DAS IND. METAL.RS","SINMETAL"
962,000,"CATSUL GUAIBA TRANSPORTES HIDROVIARIOS LTDA","CATSUL GUAIBA"
1014,000,"LEADER TECH INDUSTRIAL","LEADER TECH"
959,000,"SERVICO SOCIAL DA INDUSTRIA SESI","SESI SERVICOS S. DA INDUSTRIA"
1015,000,"RAFAEL NUNES RECH","ART-SUL COMERCIO E REPRESENTACAO"
973,000,"ACITEK TECNOLOGIA EM PRODUTOS LTDA","ACITEK"
1902,000,"MLF CONSULTORIA GEOTECNICA - ME","MLF GEOTECNIA"
2214,000,"DISTRIBUIDORA FERRAMENTAS KENNEDY LTDA","FERRAMENTAS KENNEDY"
974,000,"MURRELEKTRONIK DO BRASIL INDÚSTRIA E COMÉRCIO LTDA","MURR"
1016,000,"COMERCIO DE CONFECCOES BIASITTI LTDA - ME","BIASITTI CONFECCOES"
2094,000,"ELETROACO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA","ELETROACO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA"
1025,000,"TRANSEICH ASSESSORIA E TRANSPORTES S/A","CENTRO LOGISTICO EICHENBERG & TRANSEICH"
1028,000,"RODRIGO DOS SANTOS MARQUES RESTAURANTE ME","BIFFES GRILL"
1029,000,"G E C LANCHONETES LTDA EPP","PASTEL CLUB"
1010,000,"PRADO INDUSTRIA GRAFICA LTDA-EPP","BRAUCH"
1011,000,"SPRINGER CARRIER LTDA","TOTALINE"
1030,000,"BEMATECH S/A","BEMATECH"
977,000,"EUROCABOS MATERIAIS ELÉTRICOS LTDA","EUROCABOS"
1000,000,"METALURGICA LD LTDA ME","METALURGICA LD"
978,000,"CP ELETRONICA LTDA","CP ELETRONICA"
979,000,"ITECH COMERCIO, IMPORTACAO E EXPORTACAO","ITECH COMERCIO,"
2200,000,"BANCO SAFRA","BANCO SAFRA"
980,000,"JOCELIO DA SILVA ME","BRASIL PNEUS"
1026,000,"MATV SUL ELETRONICOS LTDA","MATV SUL"
1033,000,"IMPERTEC POETA IMPERMEABILIZACOES LTDA ME","IMPERTEC"
1932,000,"VIDA PRODUTOS E SERVICOS EM DESENVOLVIMENTO ECOLOGICO LTDA","VIDA DESENVOLVIMENTO ECOLOGICO"
1001,000,"POLYTECH PRODUTOS DE BORRACHA E VEDAÇÃO LTDA","POLYTECH"
1031,000,"GRAMPREGO INDUSTRIA E COMERCIO LTDA","GRAMPREGO"
1024,000,"OLIVEIRA, MARQUES E CIA LTDA","LA BARCA CAFE CLUB"
975,000,"PLASTFLOW IND. E COM. DE EQUIPAMENTOS DE MEDIÇÃO LTDA","PLASTFLOW"
