,CPD_MP,OC,FORNECEDOR,QTD_PENDENTE_OC,ENTREGA,SIMBOLO,VALOR_TOTAL
101,36774.0,106610.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-04-27,R$,1792.94
102,36786.0,105212.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-13,R$,1562.6
103,36786.0,105701.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-06,R$,1562.6
104,36786.0,106611.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-05-04,R$,1562.6
105,36788.0,103328.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,3200.0,2020-03-02,R$,1349.76
106,36788.0,107116.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,3200.0,2020-05-11,R$,1349.76
107,36790.0,105213.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-03-16,R$,4294.44
108,36812.0,106025.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-03-22,R$,646.5600000000001
109,36814.0,103688.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,340.0,2020-03-02,R$,138.1114
110,36814.0,104584.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,60.0,2020-03-16,R$,24.372600000000002
111,36814.0,105097.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-06,R$,2.03105
112,36814.0,106027.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,60.0,2020-04-20,R$,24.372600000000002
113,36814.0,106507.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,25.0,2020-04-27,R$,10.15525
114,36814.0,107636.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,560.0,2020-05-11,R$,227.4776
115,36816.0,103690.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-02-03,R$,1.40595
116,36816.0,104585.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,50.0,2020-03-09,R$,14.0595
117,36816.0,105098.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,70.0,2020-04-06,R$,19.6833
118,36816.0,106028.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-20,R$,1.40595
119,36816.0,106509.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,80.0,2020-04-20,R$,22.4952
120,36816.0,106950.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,205.0,2020-05-04,R$,57.64395
121,36816.0,107365.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,25.0,2020-05-11,R$,7.02975
122,36816.0,107637.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-18,R$,1.40595
123,36817.0,106029.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-03-02,R$,2.7465
124,36817.0,106510.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,35.0,2020-03-23,R$,19.2255
125,36817.0,106951.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,20.0,2020-04-06,R$,10.986
126,36817.0,107638.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-20,R$,2.7465
127,36821.0,103682.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,135.0,2020-03-02,R$,69.6735
128,36821.0,104578.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,90.0,2020-03-09,R$,46.449
129,36821.0,105093.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-04-06,R$,2.5805
130,36821.0,106023.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-04-20,R$,15.483
131,36821.0,106505.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-04-20,R$,51.61
132,36821.0,106946.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,50.0,2020-04-27,R$,25.805
133,36821.0,106946.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,315.0,2020-05-04,R$,162.57150000000001
134,36821.0,107361.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-11,R$,2.5805
135,36822.0,106514.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-04-06,R$,87.4
136,36967.0,102990.0,KOTEK ELETRO ELETRONICA LTDA,100.0,2020-03-02,R$,18.060000000000002
137,36967.0,105291.0,KOTEK ELETRO ELETRONICA LTDA,100.0,2020-04-06,R$,18.060000000000002
138,36967.0,105782.0,KOTEK ELETRO ELETRONICA LTDA,100.0,2020-05-04,R$,18.060000000000002
139,36967.0,107715.0,ETESSADAHNIAR IND. E COM. DE AUTO PECAS LTDA,700.0,2020-02-26,R$,183.393
140,36982.0,106805.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-02-18,R$,1191.52
141,37012.0,106798.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-02-25,R$,766.16
